Ronald Agénor=Agénor
Rosalyn Fairbank=Fairbank
Roscoe Tanner=Tanner
Rosemary Casals=Casals
Roy Emerson=Emerson
Ruta Gerulaitis=Gerulaitis
Ruxandra Dragomir=Dragomir
Sabine Hack=Hack
Sabine Lisicki=Lisicki
Sam Querrey=Querrey
Samantha Stosur=Stosur
Sandra Cecchini=Cecchini
Sandrine Testud=Testud
Sandy Mayer=Mayer
Sara Errani=Errani
Sébastien Grosjean=Grosjean
Serena Williams=Williams
Sergi Bruguera=Bruguera
Sesil Karatantcheva=Karatantcheva
Séverine Beltrame=Beltrame
Shahar Pe’er=Shahar Pe’er
Shelby Rogers=Rogers
Shinobu Asagoe=Asagoe
Shuzo Matsuoka=Matsuoka
Silvia Farina Elia=Elia
Simona Halep=Halep
Sjeng Schalken=Schalken
Slava Doseděl=Doseděl
Sloane Stephens=Stephens
Slobodan Živojinović=Živojinović
Sorana Cîrstea=Cîrstea
Stan Smith=Smith
Stan Wawrinka=Wawrinka
Stanislas Wawrinka=Wawrinka
Stefan Edberg=Edberg
Steffi Graf=Graf
Sue Barker=Barker
Svetlana Kuznetsova=Kuznetsova
Sybille Bammer=Bammer
Sylvia Hanika=Hanika
Sylvia Plischke=Plischke
Tamarine Tanasugarn=Tanasugarn
Tamira Paszek=Paszek
Tatiana Golovin=Golovin
Terry Phelps=Phelps
Thierry Champion=Champion
Thomas Enqvist=Enqvist
Thomas Johansson=Johansson
Thomas Muster=Muster
Thomaz Koch=Koch
Tim Gullikson=Gullikson
Tim Henman=Henman
Tim Mayotte=Mayotte
Tim Wilkison=Wilkison
Timea Bacsinszky=Bacsinszky
Todd Martin=Martin
Todd Woodbridge=Woodbridge
Tom Gorman=Gorman
Tom Gullikson=Gullikson
Tom Okker=Okker
Tomáš Berdych=Berdych
Tomáš Šmíd=Šmíd
Tommy Haas=Haas
Tommy Robredo=Robredo
Tony Roche=Roche
Tracy Austin=Austin
Tsvetana Pironkova=Pironkova
Vasek Pospisil=Pospisil
Venus Williams=Williams
Vera Zvonareva=Zvonareva
Victor Hănescu=Hănescu
Víctor Pecci=Pecci
Victoria Azarenka=Azarenka
Vijay Amritraj=Amritraj
Virginia Ruano Pascual=Ruano Pascual
Virginia Ruzici=Ruzici
Virginia Wade=Wade
Vitas Gerulaitis=Gerulaitis
Vladimir Voltchkov=Voltchkov
Vlasta Vopičková=Vopičková
Wally Masur=Masur
Wayne Ferreira=Ferreira
Wendy Turnbull=Turnbull
Winnie Shaw=Shaw
Wojciech Fibak=Fibak
Xavier Malisse=Malisse
Yanina Wickmayer=Wickmayer
Yannick Noah=Noah
Yaroslava Shvedova=Shvedova
Yayuk Basuki=Basuki
Yevgeny Kafelnikov=Kafelnikov
Younes El Aynaoui=El Aynaoui
Yulia Putintseva=Putintseva
Yvonne Vermaak=Vermaak
Željko Franulović=Franulović
Zenda Liess=Liess
Zheng Jie=Zheng
Zina Garrison=Garrison
